collection,profile,group,kernel,actual_vf,scalable,visited_scalable_vfs,historical_selection_regret,same_body_as_same_vf_forced,same_loop_opcodes_as_forced,allocation_frame_lines,binary_measured
final-xiangshan,xiangshan,core,s000,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-xiangshan,xiangshan,core,s1111,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-xiangshan,xiangshan,core,s125,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-xiangshan,xiangshan,core,s311,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-xiangshan,xiangshan,core,s4112,16,True,"[1, 2, 4, 8, 16]",1.0160895012113116,True,True,[],False
final-xiangshan,xiangshan,core,jacobi-2d-imper-l00,8,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-xiangshan,xiangshan,core,gesummv-l00,4,True,"[1, 2, 4, 8, 16]",1.0931166540392083,False,False,[],False
final-xiangshan,xiangshan,validation_informed,bicg-l01,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-xiangshan,xiangshan,validation_informed,gemver-l00,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-saturn,saturn,core,s000,16,True,"[1, 2, 4, 8, 16]",,True,True,[],False
final-saturn,saturn,core,s1111,16,True,"[1, 2, 4, 8, 16]",,True,True,[],False
final-saturn,saturn,core,s125,16,True,"[1, 2, 4, 8, 16]",,True,True,[],False
final-saturn,saturn,core,s311,16,True,"[1, 2, 4, 8, 16]",,True,True,[],False
final-saturn,saturn,core,s4112,16,True,"[1, 2, 4, 8, 16]",,True,True,[],False
final-saturn,saturn,core,jacobi-2d-imper-l00,16,True,"[1, 2, 4, 8, 16]",,True,True,[],False
final-saturn,saturn,core,gesummv-l00,4,True,"[1, 2, 4, 8, 16]",,False,False,[],False
final-saturn,saturn,validation_informed,bicg-l01,16,True,"[1, 2, 4, 8, 16]",,True,True,[],False
final-saturn,saturn,validation_informed,gemver-l00,16,True,"[1, 2, 4, 8, 16]",,True,True,[],False
final-none-observe,none,core,s000,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-none-observe,none,core,s1111,8,True,"[1, 2, 4, 8, 16]",1.033777749283868,True,True,[],False
final-none-observe,none,core,s125,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-none-observe,none,core,s311,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-none-observe,none,core,s4112,16,True,"[1, 2, 4, 8, 16]",1.0160895012113116,True,True,[],False
final-none-observe,none,core,jacobi-2d-imper-l00,16,True,"[1, 2, 4, 8, 16]",1.457382236537608,True,True,[],False
final-none-observe,none,core,gesummv-l00,8,True,"[1, 2, 4, 8, 16]",1.161080002841178,True,True,[],False
final-none-observe,none,validation_informed,bicg-l01,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
final-none-observe,none,validation_informed,gemver-l00,16,True,"[1, 2, 4, 8, 16]",1.0,True,True,[],False
