collection,profile,kernel,compute_recipes,compute_tp,cpu,dominant_recurrence,eligible,exclusion_reason,fallback_reason,final_score,fma_pairs,fma_savings_tp,full_evl_savings_tp,full_width_iterations,function,kind,lcd,legacy_cost,loop,memory_recipes,memory_tp,ordinary_pressure_excluded,other_recipes,other_tp,recurrence_distance,runtime_vf,scalable,scalar_address_register_recipes,target,tp,vf,zero_cost_recipes
final-xiangshan,xiangshan,s000,1,1,xiangshan-kunminghu,vp<%3>,True,,,2,0,0,1,True,selected_kernel,candidate,1,6,for.body,2,2,False,14,2,1,2,True,0,riscv64-unknown-unknown-elf,4,1,14
final-xiangshan,xiangshan,s000,1,1,xiangshan-kunminghu,vp<%3>,True,,,1,0,0,1,True,selected_kernel,candidate,1,6,for.body,2,2,False,14,2,1,4,True,0,riscv64-unknown-unknown-elf,4,2,14
final-xiangshan,xiangshan,s000,1,2,xiangshan-kunminghu,vp<%3>,True,,,0.5,0,0,1,True,selected_kernel,candidate,1,7,for.body,2,2,False,14,2,1,8,True,0,riscv64-unknown-unknown-elf,4,4,14
final-xiangshan,xiangshan,s000,1,4,xiangshan-kunminghu,vp<%avl>,True,,,0.4375,0,0,0,False,selected_kernel,candidate,3,11,for.body,2,4,False,14,3,1,16,True,0,riscv64-unknown-unknown-elf,7,8,13
final-xiangshan,xiangshan,s000,1,8,xiangshan-kunminghu,vp<%avl>,True,,,0.34375,0,0,0,False,selected_kernel,candidate,3,19,for.body,2,8,False,14,3,1,32,True,0,riscv64-unknown-unknown-elf,11,16,13
final-xiangshan,xiangshan,s1111,7,6,xiangshan-kunminghu,vp<%3>,True,,,4,1,1,1,True,selected_kernel,candidate,1,16,for.body,4,6,False,18,2,1,2,True,3,riscv64-unknown-unknown-elf,8,1,19
final-xiangshan,xiangshan,s1111,7,7,xiangshan-kunminghu,vp<%3>,True,,,3,1,1,1,True,selected_kernel,candidate,1,21,for.body,4,9,False,18,3,1,4,True,3,riscv64-unknown-unknown-elf,12,2,19
final-xiangshan,xiangshan,s1111,7,14,xiangshan-kunminghu,vp<%3>,True,,,2.5,1,2,1,True,selected_kernel,candidate,1,37,for.body,4,15,False,18,5,1,8,True,3,riscv64-unknown-unknown-elf,20,4,19
final-xiangshan,xiangshan,s1111,7,28,xiangshan-kunminghu,vp<%avl>,True,,,2.5,1,4,0,False,selected_kernel,candidate,3,72,for.body,4,30,False,18,10,1,16,True,3,riscv64-unknown-unknown-elf,40,8,18
final-xiangshan,xiangshan,s1111,7,56,xiangshan-kunminghu,vp<%avl>,True,,,2.4375,1,8,0,False,selected_kernel,candidate,3,142,for.body,4,60,True,18,18,1,32,True,3,riscv64-unknown-unknown-elf,78,16,18
final-xiangshan,xiangshan,s125,2,1,xiangshan-kunminghu,vp<%3>,True,,,3,1,1,1,True,selected_kernel,candidate,1,9,for.body,4,4,False,18,2,1,2,True,0,riscv64-unknown-unknown-elf,6,1,19
final-xiangshan,xiangshan,s125,2,1,xiangshan-kunminghu,vp<%3>,True,,,1.5,1,1,1,True,selected_kernel,candidate,1,9,for.body,4,4,False,18,2,1,4,True,0,riscv64-unknown-unknown-elf,6,2,19
final-xiangshan,xiangshan,s125,2,2,xiangshan-kunminghu,vp<%3>,True,,,0.75,1,2,1,True,selected_kernel,candidate,1,11,for.body,4,4,False,18,2,1,8,True,0,riscv64-unknown-unknown-elf,6,4,19
final-xiangshan,xiangshan,s125,2,4,xiangshan-kunminghu,vp<%avl>,True,,,0.6875,1,4,0,False,selected_kernel,candidate,3,19,for.body,4,8,False,18,3,1,16,True,0,riscv64-unknown-unknown-elf,11,8,18
final-xiangshan,xiangshan,s125,2,8,xiangshan-kunminghu,vp<%avl>,True,,,0.59375,1,8,0,False,selected_kernel,candidate,3,35,for.body,4,16,False,18,3,1,32,True,0,riscv64-unknown-unknown-elf,19,16,18
final-xiangshan,xiangshan,s311,2,1,xiangshan-kunminghu,ir<%sum.04>,True,,,3,0,0,2,True,selected_kernel,candidate,6,6,for.body,1,1,False,13,2,1,2,True,0,riscv64-unknown-unknown-elf,3,1,14
final-xiangshan,xiangshan,s311,2,1,xiangshan-kunminghu,ir<%sum.04>,True,,,1.5,0,0,2,True,selected_kernel,candidate,6,6,for.body,1,1,False,13,2,1,4,True,0,riscv64-unknown-unknown-elf,3,2,14
final-xiangshan,xiangshan,s311,2,2,xiangshan-kunminghu,ir<%sum.04>,True,,,0.875,0,0,3,True,selected_kernel,candidate,7,8,for.body,1,1,False,13,2,1,8,True,0,riscv64-unknown-unknown-elf,4,4,14
final-xiangshan,xiangshan,s311,2,8,xiangshan-kunminghu,ir<%sum.04>,True,,,0.6875,0,0,0,False,selected_kernel,candidate,10,13,for.body,1,2,False,13,3,1,16,True,0,riscv64-unknown-unknown-elf,11,8,12
final-xiangshan,xiangshan,s311,2,16,xiangshan-kunminghu,ir<%sum.04>,True,,,0.59375,0,0,0,False,selected_kernel,candidate,14,23,for.body,1,4,False,13,3,1,32,True,0,riscv64-unknown-unknown-elf,19,16,12
final-xiangshan,xiangshan,s4112,3,2,xiangshan-kunminghu,vp<%3>,True,,,6.5,1,1,1,True,selected_kernel,candidate,1,17,for.body,4,11,False,16,2,1,2,True,0,riscv64-unknown-unknown-elf,13,1,17
final-xiangshan,xiangshan,s4112,3,3,xiangshan-kunminghu,vp<%3>,True,,,4,1,1,1,True,selected_kernel,candidate,1,21,for.body,4,14,False,16,2,1,4,True,0,riscv64-unknown-unknown-elf,16,2,17
final-xiangshan,xiangshan,s4112,3,6,xiangshan-kunminghu,vp<%3>,True,,,2.75,1,2,1,True,selected_kernel,candidate,1,31,for.body,4,20,False,16,2,1,8,True,0,riscv64-unknown-unknown-elf,22,4,17
final-xiangshan,xiangshan,s4112,3,12,xiangshan-kunminghu,vp<%avl>,True,,,2.375,1,4,0,False,selected_kernel,candidate,3,54,for.body,4,35,False,16,3,1,16,True,0,riscv64-unknown-unknown-elf,38,8,16
final-xiangshan,xiangshan,s4112,3,25,xiangshan-kunminghu,vp<%avl>,True,,,2.125,1,8,0,False,selected_kernel,candidate,3,101,for.body,4,65,False,16,3,1,32,True,0,riscv64-unknown-unknown-elf,68,16,16
final-xiangshan,xiangshan,jacobi-2d-imper-l00,6,27,xiangshan-kunminghu,vp<%5>,True,,,15,0,0,1,True,selected_kernel,candidate,1,36,for.body,5,5,False,25,3,1,2,True,0,riscv64-unknown-unknown-elf,30,1,24
final-xiangshan,xiangshan,jacobi-2d-imper-l00,6,27,xiangshan-kunminghu,vp<%5>,True,,,7.5,0,0,1,True,selected_kernel,candidate,1,36,for.body,5,5,False,25,3,1,4,True,0,riscv64-unknown-unknown-elf,30,2,24
final-xiangshan,xiangshan,jacobi-2d-imper-l00,6,32,xiangshan-kunminghu,vp<%5>,True,,,4.375,0,0,1,True,selected_kernel,candidate,1,41,for.body,5,5,False,25,3,1,8,True,0,riscv64-unknown-unknown-elf,35,4,24
final-xiangshan,xiangshan,jacobi-2d-imper-l00,6,60,xiangshan-kunminghu,vp<%avl>,True,,,4,0,0,0,False,selected_kernel,candidate,3,74,for.body,5,10,False,25,4,1,16,True,0,riscv64-unknown-unknown-elf,64,8,23
final-xiangshan,xiangshan,jacobi-2d-imper-l00,6,152,xiangshan-kunminghu,vp<%avl>,True,,,4.875,0,0,0,False,selected_kernel,candidate,3,176,for.body,5,20,False,25,4,1,32,True,0,riscv64-unknown-unknown-elf,156,16,23
final-xiangshan,xiangshan,gesummv-l00,6,2,xiangshan-kunminghu,ir<%y.021>,True,,,3,2,2,3,True,selected_kernel,candidate,6,12,for.body,3,3,False,18,2,1,2,True,0,riscv64-unknown-unknown-elf,5,1,22
final-xiangshan,xiangshan,gesummv-l00,6,2,xiangshan-kunminghu,ir<%y.021>,True,,,1.5,2,2,3,True,selected_kernel,candidate,6,12,for.body,3,3,False,18,2,1,4,True,0,riscv64-unknown-unknown-elf,5,2,22
final-xiangshan,xiangshan,gesummv-l00,6,4,xiangshan-kunminghu,ir<%y.021>,True,,,0.875,2,4,5,True,selected_kernel,candidate,7,18,for.body,3,3,False,18,2,1,8,True,0,riscv64-unknown-unknown-elf,6,4,22
final-xiangshan,xiangshan,gesummv-l00,6,16,xiangshan-kunminghu,ir<%y.021>,True,,,1.1875,2,8,0,False,selected_kernel,candidate,10,33,for.body,3,6,False,18,3,1,16,True,0,riscv64-unknown-unknown-elf,19,8,19
final-xiangshan,xiangshan,gesummv-l00,6,32,xiangshan-kunminghu,ir<%y.021>,False,register pressure,,1.09375,2,16,0,False,selected_kernel,candidate,14,63,for.body,3,12,True,18,3,1,32,True,0,riscv64-unknown-unknown-elf,35,16,19
final-xiangshan,xiangshan,bicg-l01,5,2,xiangshan-kunminghu,ir<%q.018>,True,,,3,2,2,2,True,selected_kernel,candidate,6,12,for.body,4,4,False,18,2,1,2,True,0,riscv64-unknown-unknown-elf,6,1,21
final-xiangshan,xiangshan,bicg-l01,5,2,xiangshan-kunminghu,ir<%q.018>,True,,,1.5,2,2,2,True,selected_kernel,candidate,6,12,for.body,4,4,False,18,2,1,4,True,0,riscv64-unknown-unknown-elf,6,2,21
final-xiangshan,xiangshan,bicg-l01,5,4,xiangshan-kunminghu,ir<%q.018>,True,,,0.875,2,4,3,True,selected_kernel,candidate,7,17,for.body,4,4,False,18,2,1,8,True,0,riscv64-unknown-unknown-elf,6,4,21
